伝票日付,移動元コード,移動先コード,バーコード,数量,上代単価
2025/6/25,99999,H001,4527772143002 ,2,
2025/6/25,99999,H001,4527772154794 ,4,
2025/6/25,99999,H001,4527772154800 ,3,
2025/6/25,99999,H001,4527772154824 ,2,
2025/6/25,99999,H001,4527887157499 ,6,
2025/6/25,99999,H001,4527820156824 ,5,
2025/6/25,99999,H001,4527822156846 ,5,
2025/6/25,99999,H001,4527821156830 ,5,
2025/6/25,99999,H001,4527930157926 ,600,
2025/6/25,99999,H001,4527809156715 ,2,
2025/6/25,99999,H001,4527772147789 ,35,
2025/6/25,99999,H001,4527777156175 ,7,
2025/6/25,99999,H001,4527777156168 ,7,
2025/6/25,99999,H001,4527775156078 ,2,
2025/6/25,99999,H001,4527777156243 ,600,
2025/6/25,99999,H001,4527772155784 ,480,
2025/6/25,99999,H001,4527791156533 ,20,
2025/6/25,99999,H001,4527772149943 ,50,
2025/6/25,99999,H001,4527772155425 ,10,
2025/6/25,99999,H001,4527772155456 ,3,
2025/6/25,99999,H001,4527772153322 ,50,
2025/6/25,99999,H001,4527772117744 ,3,
